Opcode   | Instruction| Op/ | 64-bit | Compat/Leg | Description
0F 80 cd | JO   rel32 | D   | Valid  | Valid      | Jump near if overflow (OF=1).
0F 81 cd | JNO  rel32 | D   | Valid  | Valid      | Jump near if not overflow (OF=0).
0F 82 cd | JB   rel32 | D   | Valid  | Valid      | Jump near if below (CF=1).
0F 82 cd | JC   rel32 | D   | Valid  | Valid      | Jump near if carry (CF=1).
0F 82 cd | JNAE rel32 | D   | Valid  | Valid      | Jump near if not above or equal (CF=1).
0F 83 cd | JAE  rel32 | D   | Valid  | Valid      | Jump near if above or equal (CF=0).
0F 83 cd | JNB  rel32 | D   | Valid  | Valid      | Jump near if not below (CF=0).
0F 83 cd | JNC  rel32 | D   | Valid  | Valid      | Jump near if not carry (CF=0).
0F 84 cd | JE   rel32 | D   | Valid  | Valid      | Jump near if equal (ZF=1).
0F 84 cd | JZ   rel32 | D   | Valid  | Valid      | Jump near if 0 (ZF=1)
0F 84 cd | JZ   rel32 | D   | Valid  | Valid      | Jump near if 0 (ZF=1).
0F 85 cd | JNE  rel32 | D   | Valid  | Valid      | Jump near if not equal (ZF=0).
0F 85 cd | JNZ  rel32 | D   | Valid  | Valid      | Jump near if not zero (ZF=0).
0F 86 cd | JBE  rel32 | D   | Valid  | Valid      | Jump near if below or equal (CF=1 or ZF=1).
0F 86 cd | JNA  rel32 | D   | Valid  | Valid      | Jump near if not above (CF=1 or ZF=1).
0F 87 cd | JA   rel32 | D   | Valid  | Valid      | Jump near if above (CF=0 and ZF=0).
0F 87 cd | JNBE rel32 | D   | Valid  | Valid      | Jump near if not below or equal (CF=0 and ZF=0).
0F 88 cd | JS   rel32 | D   | Valid  | Valid      | Jump near if sign (SF=1).
0F 89 cd | JNS  rel32 | D   | Valid  | Valid      | Jump near if not sign (SF=0).
0F 8A cd | JP   rel32 | D   | Valid  | Valid      | Jump near if parity (PF=1).
0F 8A cd | JPE  rel32 | D   | Valid  | Valid      | Jump near if parity even (PF=1).
0F 8B cd | JNP  rel32 | D   | Valid  | Valid      | Jump near if not parity (PF=0).
0F 8B cd | JPO  rel32 | D   | Valid  | Valid      | Jump near if parity odd (PF=0).
0F 8C cd | JL   rel32 | D   | Valid  | Valid      | Jump near if less (SF≠ OF).
0F 8C cd | JNGE rel32 | D   | Valid  | Valid      | Jump near if not greater or equal (SF≠ OF).
0F 8D cd | JGE  rel32 | D   | Valid  | Valid      | Jump near if greater or equal (SF=OF).
0F 8D cd | JNL  rel32 | D   | Valid  | Valid      | Jump near if not less (SF=OF).
0F 8E cd | JLE  rel32 | D   | Valid  | Valid      | Jump near if less or equal (ZF=1 or SF≠ OF).
0F 8E cd | JNG  rel32 | D   | Valid  | Valid      | Jump near if not greater (ZF=1 or SF≠ OF).
0F 8F cd | JG   rel32 | D   | Valid  | Valid      | Jump near if greater (ZF=0 and SF=OF).
0F 8F cd | JNLE rel32 | D   | Valid  | Valid      | Jump near if not less or equal (ZF=0 and SF=OF).
---------+------------+-----+--------+------------+---------------------------------------------
0F 80 cw | JO rel16   | D   | N.S.   | Valid      | Jump near if overflow (OF=1). Not supported in 64-bit mode.
0F 81 cw | JNO rel16  | D   | N.S.   | Valid      | Jump near if not overflow (OF=0). Not supported in 64-bit mode.
0F 82 cw | JB rel16   | D   | N.S.   | Valid      | Jump near if below (CF=1). Not supported in 64-bit mode.
0F 82 cw | JC rel16   | D   | N.S.   | Valid      | Jump near if carry (CF=1). Not supported in 64-bit mode.
0F 82 cw | JNAE rel16 | D   | N.S.   | Valid      | Jump near if not above or equal (CF=1). Not supported in 64-bit mode.
0F 83 cw | JAE rel16  | D   | N.S.   | Valid      | Jump near if above or equal (CF=0). Not supported in 64-bit mode
0F 83 cw | JNB rel16  | D   | N.S.   | Valid      | Jump near if not below (CF=0). Not supported in 64-bit mode.
0F 83 cw | JNC rel16  | D   | N.S.   | Valid      | Jump near if not carry (CF=0). Not supported in 64-bit mode.
0F 84 cw | JE rel16   | D   | N.S.   | Valid      | Jump near if equal (ZF=1). Not supported in 64-bit mode.
0F 84 cw | JZ rel16   | D   | N.S.   | Valid      | Jump near if 0 (ZF=1). Not supported in 64-bit mode.
0F 84 cw | JZ rel16   | D   | N.S.   | Valid      | Jump near if 0 (ZF=1). Not supported in 64-bit mode.
0F 85 cw | JNE rel16  | D   | N.S.   | Valid      | Jump near if not equal (ZF=0). Not supported in 64-bit mode.
0F 85 cw | JNZ rel16  | D   | N.S.   | Valid      | Jump near if not zero (ZF=0). Not supported in 64-bit mode.
0F 86 cw | JBE rel16  | D   | N.S.   | Valid      | Jump near if below or equal (CF=1 or ZF=1). Not supported in 64-bit mode.
0F 86 cw | JNA rel16  | D   | N.S.   | Valid      | Jump near if not above (CF=1 or ZF=1). Not supported in 64-bit mode.
0F 87 cw | JA rel16   | D   | N.S.   | Valid      | Jump near if above (CF=0 and ZF=0). Not supported in 64-bit mode.
0F 87 cw | JNBE rel16 | D   | N.S.   | Valid      | Jump near if not below or equal (CF=0 and ZF=0). Not supported in 64-bit mode.
0F 88 cw | JS rel16   | D   | N.S.   | Valid      | Jump near if sign (SF=1). Not supported in 64- bit mode.
0F 89 cw | JNS rel16  | D   | N.S.   | Valid      | Jump near if not sign (SF=0). Not supported in 64-bit mode.
0F 8A cw | JP rel16   | D   | N.S.   | Valid      | Jump near if parity (PF=1). Not supported in 64-bit mode.
0F 8A cw | JPE rel16  | D   | N.S.   | Valid      | Jump near if parity even (PF=1). Not supported in 64-bit mode.
0F 8B cw | JNP rel16  | D   | N.S.   | Valid      | Jump near if not parity (PF=0). Not supported in 64-bit mode.
0F 8B cw | JPO rel16  | D   | N.S.   | Valid      | Jump near if parity odd (PF=0). Not supported in 64-bit mode.
0F 8C cw | JL rel16   | D   | N.S.   | Valid      | Jump near if less (SF≠ OF). Not supported in 64-bit mode.
0F 8C cw | JNGE rel16 | D   | N.S.   | Valid      | Jump near if not greater or equal (SF≠ OF). Not supported in 64-bit mode.
0F 8D cw | JGE rel16  | D   | N.S.   | Valid      | Jump near if greater or equal (SF=OF). Not supported in 64-bit mode.
0F 8D cw | JNL rel16  | D   | N.S.   | Valid      | Jump near if not less (SF=OF). Not supported in 64-bit mode.
0F 8E cw | JLE rel16  | D   | N.S.   | Valid      | Jump near if less or equal (ZF=1 or SF≠ OF). Not supported in 64-bit mode.
0F 8E cw | JNG rel16  | D   | N.S.   | Valid      | Jump near if not greater (ZF=1 or SF≠ OF). Not supported in 64-bit mode.
0F 8F cw | JG rel16   | D   | N.S.   | Valid      | Jump near if greater (ZF=0 and SF=OF). Not supported in 64-bit mode.
0F 8F cw | JNLE rel16 | D   | N.S.   | Valid      | Jump near if not less or equal (ZF=0 and SF=OF). Not supported in 64-bit mode.
